"","fips","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS"
"531",13291,0.065,0.119,0.087,0.168,0.56
"532",13293,0.16,0.1,0.114,0.206,0.421
"533",13295,0.144,0.164,0.117,0.21,0.366
"534",13297,0.106,0.127,0.184,0.141,0.442
"535",13299,0.061,0.108,0.109,0.166,0.556
"536",13301,0.095,0.065,0.14,0.226,0.474
"537",13303,0.104,0.07,0.053,0.157,0.617
"538",13305,0.029,0.139,0.143,0.139,0.55
"539",13307,0.019,0.064,0.103,0.21,0.603
"540",13309,0.135,0.078,0.162,0.23,0.395
"541",13311,0.057,0.064,0.099,0.347,0.433
"542",13313,0.185,0.068,0.203,0.142,0.403
"543",13315,0.173,0.017,0.083,0.157,0.569
"544",13317,0.08,0.086,0.114,0.172,0.548
"545",13319,0.039,0.062,0.141,0.224,0.534
"546",13321,0.069,0.056,0.083,0.187,0.605
"547",15001,0.01,0.032,0.037,0.122,0.799
"548",15003,0.011,0.012,0.027,0.151,0.798
"549",15005,0.026,0.013,0.032,0.08,0.85
"550",15007,0,0.021,0.046,0.108,0.825
"551",15009,0.034,0.016,0.025,0.122,0.803
"552",16001,0.118,0.078,0.084,0.194,0.526
"553",16003,0.094,0.216,0.218,0.218,0.254
"554",16005,0.084,0.193,0.176,0.195,0.352
"555",16007,0.151,0.12,0.102,0.243,0.385
"556",16009,0.038,0.059,0.15,0.152,0.601
"557",16011,0.095,0.197,0.175,0.229,0.304
"558",16013,0.155,0.107,0.102,0.13,0.506
"559",16015,0.057,0.038,0.038,0.549,0.318
"560",16017,0.088,0.116,0.119,0.241,0.436
"561",16019,0.096,0.202,0.188,0.247,0.268
"562",16021,0.045,0.171,0.061,0.185,0.537
"563",16023,0.107,0.213,0.159,0.222,0.298
"564",16025,0.186,0.03,0.047,0.098,0.639
"565",16027,0.113,0.095,0.17,0.24,0.381
"566",16029,0.1,0.181,0.191,0.202,0.326
"567",16031,0.134,0.223,0.102,0.149,0.392
"568",16033,0.119,0.228,0.196,0.239,0.218
"569",16035,0.037,0.112,0.127,0.25,0.475
"570",16037,0.069,0.029,0.199,0.244,0.458
"571",16039,0.206,0.044,0.038,0.173,0.539
"572",16041,0.131,0.118,0.085,0.256,0.41
"573",16043,0.111,0.206,0.202,0.247,0.233
"574",16045,0.119,0.136,0.111,0.198,0.436
"575",16047,0.211,0.202,0.089,0.153,0.345
"576",16049,0.045,0.094,0.164,0.275,0.423
"577",16051,0.099,0.208,0.192,0.249,0.252
"578",16053,0.175,0.219,0.096,0.167,0.343
"579",16055,0.146,0.105,0.17,0.22,0.359
"580",16057,0.002,0.012,0.066,0.328,0.592
"581",16059,0.109,0.173,0.231,0.125,0.362
"582",16061,0.027,0.073,0.157,0.285,0.459
"583",16063,0.18,0.2,0.105,0.135,0.379
"584",16065,0.101,0.207,0.196,0.25,0.245
"585",16067,0.134,0.219,0.106,0.152,0.39
"586",16069,0.009,0.03,0.117,0.326,0.517
"587",16071,0.083,0.173,0.153,0.185,0.406
"588",16073,0.123,0.137,0.146,0.171,0.423
"589",16075,0.081,0.199,0.174,0.242,0.304
"590",16077,0.078,0.205,0.152,0.185,0.381
"591",16079,0.068,0.144,0.299,0.147,0.342
"592",16081,0.099,0.189,0.19,0.25,0.272
"593",16083,0.166,0.222,0.101,0.177,0.335
"594",16085,0.041,0.118,0.102,0.378,0.361
"595",16087,0.136,0.13,0.324,0.172,0.239
"596",17001,0.18,0.092,0.189,0.19,0.35
"597",17003,0.11,0.082,0.148,0.262,0.398
"598",17005,0.07,0.055,0.108,0.218,0.549
"599",17007,0.025,0.006,0.065,0.244,0.66
"600",17009,0.18,0.099,0.136,0.2,0.385
"601",17011,0.012,0.019,0.156,0.208,0.605
"602",17013,0.082,0.06,0.219,0.366,0.273
"603",17015,0.03,0.064,0.12,0.19,0.596
"604",17017,0.103,0.08,0.19,0.187,0.441
"605",17019,0,0.067,0.08,0.192,0.661
"606",17021,0.059,0.057,0.091,0.19,0.603
"607",17023,0.127,0.089,0.107,0.226,0.451
"608",17025,0.062,0.115,0.145,0.306,0.372
"609",17027,0.102,0.063,0.083,0.166,0.587
"610",17029,0.112,0.055,0.201,0.221,0.411
"611",17031,0.023,0.021,0.072,0.162,0.722
"612",17033,0.146,0.196,0.047,0.219,0.392
"613",17035,0.095,0.075,0.194,0.212,0.424
"614",17037,0.007,0.012,0.034,0.191,0.756
"615",17039,0.035,0.106,0.073,0.28,0.507
"616",17041,0.048,0.061,0.105,0.191,0.594
"617",17043,0.01,0.01,0.056,0.163,0.76
"618",17045,0.174,0.09,0.131,0.208,0.398
"619",17047,0.086,0.148,0.233,0.306,0.228
"620",17049,0.072,0.072,0.214,0.232,0.41
"621",17051,0.069,0.076,0.156,0.229,0.47
"622",17053,0.011,0.082,0.167,0.172,0.567
"623",17055,0.099,0.166,0.119,0.211,0.405
"624",17057,0.016,0.03,0.311,0.199,0.444
"625",17059,0.201,0.06,0.128,0.238,0.373
"626",17061,0.136,0.029,0.109,0.217,0.508
"627",17063,0.056,0.056,0.105,0.183,0.599
"628",17065,0.138,0.179,0.1,0.21,0.373
"629",17067,0.147,0.154,0.125,0.163,0.411
"630",17069,0.163,0.072,0.235,0.191,0.34
"631",17071,0.096,0.044,0.101,0.155,0.604
"632",17073,0.067,0.072,0.061,0.203,0.597
"633",17075,0.097,0.168,0.069,0.242,0.424
"634",17077,0.066,0.078,0.151,0.209,0.496
"635",17079,0.099,0.135,0.131,0.254,0.38
"636",17081,0.122,0.126,0.08,0.279,0.393
"637",17083,0.074,0.079,0.124,0.185,0.537
"638",17085,0.034,0.104,0.22,0.178,0.465
"639",17087,0.124,0.05,0.189,0.141,0.496
"640",17089,0.013,0.026,0.048,0.165,0.748
"641",17091,0.044,0.084,0.096,0.249,0.527
"642",17093,0.001,0.009,0.065,0.136,0.788
"643",17095,0.035,0.031,0.194,0.246,0.494
"644",17097,0.02,0.018,0.046,0.146,0.769
"645",17099,0.018,0.046,0.113,0.267,0.556
"646",17101,0.197,0.157,0.105,0.281,0.26
"647",17103,0.013,0.054,0.058,0.224,0.65
"648",17105,0.03,0.147,0.08,0.234,0.51
"649",17107,0.046,0.045,0.23,0.128,0.551
"650",17109,0.041,0.091,0.097,0.182,0.59
"651",17111,0.03,0.012,0.066,0.176,0.716
"652",17113,0.085,0.062,0.091,0.201,0.561
"653",17115,0.016,0.062,0.088,0.286,0.549
"654",17117,0.015,0.05,0.147,0.227,0.561
"655",17119,0.035,0.045,0.083,0.189,0.648
"656",17121,0.1,0.093,0.101,0.302,0.404
"657",17123,0.048,0.083,0.133,0.198,0.538
"658",17125,0.238,0.031,0.292,0.126,0.313
"659",17127,0.097,0.043,0.232,0.256,0.373
"660",17129,0.102,0.047,0.138,0.172,0.54
"661",17131,0.039,0.066,0.11,0.215,0.571
"662",17133,0.003,0.04,0.112,0.174,0.67
"663",17135,0.018,0.05,0.091,0.316,0.525
"664",17137,0.05,0.062,0.177,0.178,0.533
"665",17139,0.081,0.073,0.213,0.243,0.39
"666",17141,0.053,0.045,0.129,0.184,0.589
"667",17143,0.039,0.036,0.096,0.251,0.577
"668",17145,0.055,0.092,0.104,0.358,0.392
"669",17147,0.003,0.052,0.06,0.198,0.688
"670",17149,0.138,0.079,0.218,0.205,0.36
"671",17151,0.104,0.054,0.213,0.214,0.415
"672",17153,0.117,0.064,0.189,0.225,0.405
"673",17155,0.021,0.025,0.168,0.251,0.535
"674",17157,0.008,0.032,0.117,0.391,0.452
"675",17159,0.111,0.151,0.107,0.3,0.331
"676",17161,0.078,0.025,0.066,0.235,0.596
"677",17163,0.032,0.027,0.037,0.138,0.767
"678",17165,0.117,0.106,0.111,0.204,0.462
"679",17167,0.017,0.03,0.155,0.233,0.564
"680",17169,0.132,0.1,0.152,0.198,0.417
"681",17171,0.113,0.057,0.148,0.162,0.52
"682",17173,0.07,0.047,0.168,0.245,0.469
"683",17175,0.013,0.101,0.058,0.155,0.672
"684",17177,0.036,0.059,0.041,0.222,0.644
"685",17179,0.044,0.04,0.141,0.215,0.56
"686",17181,0.1,0.078,0.162,0.195,0.466
"687",17183,0.023,0.119,0.088,0.266,0.504
"688",17185,0.078,0.113,0.271,0.325,0.212
"689",17187,0.042,0.02,0.141,0.276,0.522
"690",17189,0.118,0.046,0.053,0.327,0.456
"691",17191,0.086,0.142,0.128,0.3,0.345
"692",17193,0.19,0.144,0.095,0.239,0.332
"693",17195,0.025,0.066,0.042,0.218,0.649
"694",17197,0.041,0.024,0.062,0.134,0.739
"695",17199,0.095,0.122,0.136,0.183,0.464
"696",17201,0.031,0.03,0.089,0.193,0.657
"697",17203,0.062,0.067,0.112,0.242,0.517
"698",18001,0.136,0.047,0.16,0.348,0.309
"699",18003,0.07,0.14,0.099,0.228,0.464
"700",18005,0.138,0.084,0.085,0.286,0.406
"701",18007,0.082,0.126,0.112,0.183,0.496
"702",18009,0.093,0.152,0.106,0.203,0.447
"703",18011,0.052,0.085,0.142,0.308,0.413
"704",18013,0.055,0.061,0.041,0.184,0.66
"705",18015,0.059,0.104,0.17,0.22,0.447
"706",18017,0.037,0.192,0.283,0.206,0.283
"707",18019,0.068,0.06,0.141,0.228,0.501
"708",18021,0.122,0.073,0.112,0.226,0.466
"709",18023,0.088,0.033,0.132,0.285,0.462
"710",18025,0.067,0.089,0.118,0.261,0.465
"711",18027,0.049,0.061,0.13,0.214,0.546
"712",18029,0.083,0.1,0.168,0.277,0.371
"713",18031,0.175,0.083,0.101,0.204,0.437
"714",18033,0.109,0.074,0.118,0.149,0.55
"715",18035,0.095,0.109,0.124,0.197,0.475
"716",18037,0.01,0.105,0.086,0.25,0.55
"717",18039,0.03,0.097,0.094,0.252,0.528
"718",18041,0.161,0.041,0.048,0.237,0.514
"719",18043,0.053,0.086,0.154,0.233,0.474
"720",18045,0.077,0.089,0.147,0.212,0.474
"721",18047,0.07,0.082,0.104,0.199,0.545
"722",18049,0.142,0.114,0.128,0.217,0.399
"723",18051,0.09,0.1,0.204,0.255,0.351
"724",18053,0.053,0.108,0.133,0.311,0.393
"725",18055,0.099,0.027,0.081,0.235,0.558
"726",18057,0.07,0.051,0.049,0.234,0.596
"727",18059,0.068,0.04,0.166,0.306,0.42
"728",18061,0.094,0.084,0.205,0.258,0.359
"729",18063,0.054,0.052,0.113,0.257,0.523
"730",18065,0.183,0.148,0.125,0.111,0.434
"731",18067,0.008,0.083,0.183,0.301,0.426
"732",18069,0.15,0.182,0.053,0.199,0.416
"733",18071,0.097,0.098,0.105,0.388,0.312
"734",18073,0.186,0.1,0.065,0.328,0.321
"735",18075,0.141,0.139,0.157,0.235,0.328
"736",18077,0.083,0.219,0.218,0.225,0.255
"737",18079,0.095,0.105,0.172,0.308,0.319
"738",18081,0.057,0.094,0.1,0.192,0.557
"739",18083,0.158,0.125,0.121,0.259,0.338
"740",18085,0.073,0.147,0.089,0.195,0.496
"741",18087,0.059,0.082,0.171,0.236,0.452
"742",18089,0.043,0.057,0.088,0.219,0.592
"743",18091,0.084,0.075,0.168,0.206,0.466
"744",18093,0.092,0.117,0.109,0.191,0.491
"745",18095,0.062,0.084,0.15,0.145,0.559
"746",18097,0.051,0.053,0.116,0.232,0.548
"747",18099,0.12,0.103,0.159,0.229,0.389
"748",18101,0.041,0.064,0.123,0.223,0.55
"749",18103,0.054,0.125,0.253,0.226,0.343
"750",18105,0.037,0.037,0.094,0.242,0.591
"751",18107,0.07,0.116,0.168,0.156,0.49
"752",18109,0.06,0.131,0.136,0.188,0.485
"753",18111,0.102,0.153,0.092,0.338,0.316
"754",18113,0.057,0.11,0.135,0.197,0.5
"755",18115,0.06,0.078,0.18,0.223,0.459
"756",18117,0.096,0.086,0.073,0.315,0.43
"757",18119,0.094,0.038,0.087,0.282,0.5
"758",18121,0.116,0.111,0.174,0.195,0.405
"759",18123,0.01,0.109,0.087,0.252,0.542
"760",18125,0.052,0.089,0.163,0.2,0.495
"761",18127,0.05,0.1,0.108,0.231,0.512
"762",18129,0.132,0.056,0.115,0.226,0.472
"763",18131,0.135,0.219,0.171,0.253,0.223
"764",18133,0.075,0.162,0.204,0.194,0.366
"765",18135,0.128,0.13,0.228,0.179,0.336
"766",18137,0.054,0.074,0.15,0.294,0.429
"767",18139,0.133,0.118,0.063,0.279,0.408
"768",18141,0.031,0.04,0.102,0.228,0.598
"769",18143,0.036,0.073,0.168,0.263,0.46
"770",18145,0.16,0.057,0.177,0.193,0.413
"771",18147,0.017,0.134,0.104,0.216,0.529
"772",18149,0.177,0.151,0.088,0.219,0.365
"773",18151,0.04,0.089,0.17,0.169,0.532
"774",18153,0.127,0.071,0.077,0.207,0.517
"775",18155,0.089,0.125,0.209,0.234,0.344
"776",18157,0.093,0.083,0.102,0.204,0.518
"777",18159,0.033,0.082,0.089,0.444,0.352
"778",18161,0.095,0.053,0.106,0.178,0.569
"779",18163,0.07,0.039,0.115,0.234,0.542
"780",18165,0.113,0.105,0.134,0.223,0.426
"781",18167,0.118,0.064,0.102,0.25,0.466
"782",18169,0.07,0.11,0.237,0.202,0.381
"783",18171,0.079,0.115,0.092,0.223,0.492
"784",18173,0.045,0.038,0.117,0.252,0.548
"785",18175,0.097,0.074,0.062,0.356,0.411
"786",18177,0.162,0.09,0.138,0.261,0.348
"787",18179,0.205,0.05,0.077,0.337,0.332
"788",18181,0.056,0.177,0.194,0.189,0.384
"789",18183,0.061,0.186,0.132,0.16,0.46
"790",19001,0.073,0.128,0.128,0.307,0.364
"791",19003,0.148,0.11,0.15,0.311,0.281
"792",19005,0.138,0.049,0.132,0.212,0.469
"793",19007,0.044,0.11,0.239,0.193,0.413
"794",19009,0.224,0.073,0.194,0.187,0.322
"795",19011,0.098,0.067,0.13,0.2,0.504
"796",19013,0.032,0.053,0.18,0.289,0.447
"797",19015,0.09,0.08,0.1,0.197,0.533
"798",19017,0.048,0.062,0.197,0.268,0.424
"799",19019,0.021,0.124,0.087,0.394,0.373
"800",19021,0.183,0.062,0.26,0.207,0.288
"801",19023,0.052,0.094,0.208,0.23,0.417
"802",19025,0.212,0.117,0.213,0.153,0.304
"803",19027,0.153,0.11,0.241,0.139,0.358
"804",19029,0.341,0.07,0.124,0.238,0.227
"805",19031,0.026,0.096,0.142,0.355,0.381
"806",19033,0.061,0.365,0.146,0.213,0.215
"807",19035,0.183,0.105,0.221,0.182,0.309
"808",19037,0.075,0.136,0.197,0.236,0.356
"809",19039,0.078,0.167,0.143,0.194,0.418
"810",19041,0.224,0.035,0.112,0.189,0.441
"811",19043,0.123,0.084,0.137,0.284,0.371
"812",19045,0.092,0.13,0.079,0.269,0.43
"813",19047,0.089,0.045,0.141,0.064,0.66
"814",19049,0.036,0.102,0.118,0.26,0.485
"815",19051,0.038,0.101,0.249,0.201,0.411
"816",19053,0.248,0.132,0.258,0.068,0.294
"817",19055,0.035,0.137,0.137,0.408,0.283
"818",19057,0.135,0.081,0.109,0.122,0.553
"819",19059,0.276,0.027,0.091,0.173,0.433
"820",19061,0.037,0.155,0.189,0.189,0.43
"821",19063,0.241,0.083,0.067,0.181,0.428
"822",19065,0.054,0.075,0.128,0.349,0.394
"823",19067,0.063,0.271,0.148,0.25,0.268
"824",19069,0.088,0.278,0.187,0.186,0.261
"825",19071,0.048,0.061,0.071,0.209,0.611
"826",19073,0.116,0.141,0.235,0.153,0.354
"827",19075,0.038,0.042,0.203,0.238,0.48
"828",19077,0.162,0.073,0.143,0.283,0.34
"829",19079,0.143,0.118,0.129,0.153,0.457
"830",19081,0.08,0.384,0.146,0.174,0.216
"831",19083,0.074,0.075,0.195,0.214,0.441
"832",19085,0.118,0.044,0.094,0.178,0.565
"833",19087,0.123,0.142,0.091,0.183,0.461
"834",19089,0.077,0.151,0.176,0.183,0.413
"835",19091,0.243,0.268,0.147,0.102,0.24
"836",19093,0.153,0.094,0.246,0.128,0.38
"837",19095,0.027,0.149,0.135,0.239,0.45
"838",19097,0.032,0.096,0.229,0.232,0.411
"839",19099,0.102,0.105,0.233,0.212,0.347
"840",19101,0.074,0.116,0.221,0.191,0.398
"841",19103,0.014,0.044,0.069,0.2,0.673
"842",19105,0.04,0.105,0.165,0.336,0.355
"843",19107,0.035,0.126,0.287,0.28,0.272
"844",19109,0.135,0.318,0.101,0.173,0.272
"845",19111,0.17,0.146,0.131,0.161,0.392
"846",19113,0.039,0.081,0.115,0.201,0.563
"847",19115,0.097,0.058,0.15,0.214,0.482
"848",19117,0.032,0.204,0.196,0.185,0.384
"849",19119,0.078,0.173,0.157,0.247,0.344
"850",19121,0.01,0.102,0.136,0.268,0.484
"851",19123,0.069,0.067,0.294,0.283,0.287
"852",19125,0.053,0.049,0.209,0.26,0.429
"853",19127,0.077,0.064,0.153,0.226,0.48
"854",19129,0.064,0.084,0.091,0.281,0.481
"855",19131,0.046,0.282,0.149,0.26,0.263
"856",19133,0.078,0.069,0.087,0.127,0.64
"857",19135,0.034,0.078,0.256,0.247,0.385
"858",19137,0.218,0.034,0.084,0.378,0.286
"859",19139,0.12,0.022,0.221,0.273,0.364
"860",19141,0.173,0.054,0.267,0.187,0.319
"861",19143,0.195,0.051,0.233,0.199,0.322
"862",19145,0.088,0.053,0.068,0.31,0.481
"863",19147,0.199,0.116,0.088,0.179,0.419
"864",19149,0.125,0.145,0.166,0.162,0.402
"865",19151,0.214,0.124,0.162,0.165,0.335
"866",19153,0.044,0.089,0.136,0.259,0.473
"867",19155,0.115,0.083,0.147,0.264,0.39
"868",19157,0.121,0.145,0.187,0.164,0.383
"869",19159,0.144,0.138,0.281,0.162,0.275
"870",19161,0.18,0.071,0.286,0.159,0.303
"871",19163,0.075,0.027,0.126,0.277,0.494
"872",19165,0.099,0.059,0.182,0.145,0.516
"873",19167,0.12,0.06,0.285,0.2,0.335
"874",19169,0.045,0.075,0.071,0.235,0.574
"875",19171,0.066,0.053,0.209,0.181,0.491
"876",19173,0.09,0.151,0.185,0.282,0.292
"877",19175,0.03,0.125,0.172,0.21,0.462
"878",19177,0.107,0.128,0.175,0.218,0.372
"879",19179,0.034,0.082,0.293,0.221,0.37
"880",19181,0.055,0.182,0.181,0.245,0.337
"881",19183,0.035,0.102,0.123,0.151,0.589
"882",19185,0.138,0.148,0.252,0.12,0.342
"883",19187,0.209,0.167,0.161,0.101,0.362
"884",19189,0.07,0.329,0.176,0.197,0.228
"885",19191,0.122,0.044,0.151,0.177,0.505
"886",19193,0.113,0.165,0.137,0.16,0.425
"887",19195,0.072,0.271,0.175,0.231,0.251
"888",19197,0.172,0.299,0.173,0.125,0.232
"889",20001,0.153,0.212,0.126,0.167,0.341
"890",20003,0.189,0.063,0.137,0.267,0.344
"891",20005,0.137,0.122,0.169,0.256,0.316
"892",20007,0.069,0.147,0.118,0.329,0.336
"893",20009,0.107,0.131,0.12,0.211,0.43
"894",20011,0.167,0.146,0.077,0.12,0.49
"895",20013,0.089,0.149,0.183,0.197,0.382
"896",20015,0.053,0.133,0.122,0.222,0.47
"897",20017,0.151,0.082,0.212,0.225,0.331
"898",20019,0.128,0.137,0.185,0.214,0.337
"899",20021,0.131,0.121,0.164,0.174,0.41
"900",20023,0.065,0.27,0.174,0.235,0.256
"901",20025,0.163,0.13,0.126,0.232,0.348
"902",20027,0.081,0.069,0.115,0.229,0.507
"903",20029,0.154,0.077,0.118,0.217,0.434
"904",20031,0.085,0.119,0.165,0.404,0.227
"905",20033,0.112,0.144,0.128,0.271,0.346
"906",20035,0.075,0.093,0.28,0.131,0.421
"907",20037,0.108,0.143,0.118,0.139,0.492
"908",20039,0.163,0.118,0.211,0.235,0.273
"909",20041,0.106,0.118,0.148,0.243,0.385
"910",20043,0.137,0.193,0.184,0.214,0.272
"911",20045,0.006,0.009,0.024,0.227,0.734
"912",20047,0.052,0.086,0.135,0.221,0.506
"913",20049,0.061,0.05,0.295,0.282,0.312
"914",20051,0.154,0.154,0.224,0.148,0.32
"915",20053,0.174,0.133,0.133,0.187,0.373
"916",20055,0.166,0.089,0.163,0.239,0.343
"917",20057,0.143,0.084,0.143,0.232,0.399
"918",20059,0.063,0.06,0.159,0.354,0.364
"919",20061,0.05,0.068,0.113,0.27,0.499
"920",20063,0.24,0.089,0.234,0.151,0.287
"921",20065,0.218,0.156,0.247,0.129,0.25
"922",20067,0.14,0.108,0.15,0.231,0.37
"923",20069,0.158,0.092,0.146,0.24,0.364
"924",20071,0.135,0.131,0.181,0.229,0.323
"925",20073,0.034,0.079,0.256,0.302,0.33
"926",20075,0.131,0.095,0.189,0.217,0.368
"927",20077,0.079,0.118,0.21,0.193,0.4
"928",20079,0.075,0.058,0.121,0.323,0.423
"929",20081,0.153,0.107,0.137,0.239,0.364
"930",20083,0.126,0.075,0.163,0.225,0.412
"931",20085,0.01,0.116,0.161,0.136,0.577
"932",20087,0.026,0.069,0.09,0.182,0.634
"933",20089,0.171,0.142,0.087,0.259,0.34
"934",20091,0.029,0.019,0.075,0.224,0.654
"935",20093,0.155,0.098,0.172,0.229,0.346
"936",20095,0.081,0.212,0.114,0.128,0.464
"937",20097,0.062,0.107,0.128,0.233,0.469
"938",20099,0.168,0.123,0.091,0.147,0.471
"939",20101,0.197,0.075,0.197,0.204,0.326
"940",20103,0.087,0.135,0.092,0.142,0.544
"941",20105,0.171,0.132,0.16,0.163,0.375
"942",20107,0.14,0.053,0.121,0.285,0.4
"943",20109,0.206,0.131,0.194,0.189,0.28
"944",20111,0.113,0.111,0.133,0.3,0.344
"945",20113,0.12,0.065,0.106,0.313,0.396
"946",20115,0.101,0.068,0.209,0.279,0.343
"947",20117,0.048,0.049,0.233,0.263,0.407
"948",20119,0.164,0.123,0.115,0.235,0.362
"949",20121,0.071,0.044,0.095,0.25,0.54
"950",20123,0.173,0.116,0.144,0.18,0.388
"951",20125,0.164,0.132,0.102,0.195,0.407
"952",20127,0.11,0.094,0.148,0.244,0.404
"953",20129,0.12,0.113,0.144,0.218,0.405
"954",20131,0.035,0.094,0.203,0.236,0.432
"955",20133,0.133,0.204,0.12,0.127,0.416
"956",20135,0.15,0.083,0.199,0.198,0.371
"957",20137,0.161,0.163,0.177,0.225,0.275
"958",20139,0.018,0.09,0.088,0.24,0.564
"959",20141,0.174,0.233,0.163,0.136,0.293
"960",20143,0.131,0.117,0.164,0.191,0.396
"961",20145,0.053,0.096,0.137,0.217,0.497
"962",20147,0.15,0.244,0.126,0.19,0.29
"963",20149,0.012,0.057,0.145,0.236,0.55
"964",20151,0.02,0.183,0.101,0.309,0.387
"965",20153,0.128,0.174,0.209,0.22,0.268
"966",20155,0.135,0.077,0.143,0.191,0.454
"967",20157,0.183,0.073,0.076,0.295,0.373
"968",20159,0.153,0.086,0.11,0.241,0.41
"969",20161,0.03,0.05,0.124,0.261,0.535
"970",20163,0.179,0.22,0.218,0.123,0.26
"971",20165,0.11,0.122,0.182,0.183,0.403
"972",20167,0.16,0.174,0.174,0.157,0.335
"973",20169,0.126,0.133,0.175,0.209,0.357
"974",20171,0.197,0.09,0.19,0.21,0.313
"975",20173,0.06,0.055,0.126,0.26,0.499
"976",20175,0.138,0.14,0.092,0.226,0.403
"977",20177,0.009,0.078,0.095,0.184,0.633
"978",20179,0.231,0.112,0.236,0.154,0.267
"979",20181,0.1,0.27,0.159,0.24,0.231
"980",20183,0.142,0.257,0.088,0.195,0.319
"981",20185,0.041,0.125,0.109,0.252,0.472
"982",20187,0.127,0.098,0.172,0.216,0.388
"983",20189,0.122,0.132,0.112,0.225,0.408
"984",20191,0.104,0.039,0.115,0.298,0.444
"985",20193,0.188,0.157,0.208,0.184,0.263
"986",20195,0.203,0.115,0.256,0.137,0.291
"987",20197,0.011,0.077,0.12,0.201,0.591
"988",20199,0.128,0.21,0.154,0.246,0.262
"989",20201,0.148,0.075,0.111,0.234,0.432
"990",20203,0.173,0.112,0.184,0.219,0.313
"991",20205,0.125,0.148,0.145,0.184,0.398
"992",20207,0.092,0.175,0.171,0.247,0.314
"993",20209,0.025,0.056,0.076,0.178,0.665
"994",21001,0.076,0.115,0.167,0.243,0.399
"995",21003,0.101,0.072,0.097,0.211,0.519
"996",21005,0.062,0.01,0.044,0.483,0.401
"997",21007,0.107,0.033,0.198,0.257,0.404
"998",21009,0.053,0.093,0.09,0.176,0.588
"999",21011,0.076,0.058,0.084,0.339,0.443
"1000",21013,0.146,0.094,0.12,0.199,0.44
"1001",21015,0.08,0.087,0.081,0.232,0.52
"1002",21017,0.024,0.037,0.042,0.129,0.769
"1003",21019,0.084,0.125,0.202,0.235,0.354
"1004",21021,0.092,0.037,0.112,0.161,0.598
"1005",21023,0.056,0.249,0.065,0.238,0.392
"1006",21025,0.114,0.081,0.126,0.241,0.438
"1007",21027,0.023,0.146,0.177,0.138,0.517
"1008",21029,0.037,0.091,0.156,0.181,0.535
"1009",21031,0.066,0.097,0.133,0.17,0.535
"1010",21033,0.059,0.067,0.26,0.177,0.438
"1011",21035,0.066,0.084,0.248,0.17,0.432
"1012",21037,0.073,0.085,0.134,0.278,0.43
"1013",21039,0.104,0.045,0.188,0.236,0.428
"1014",21041,0.155,0.171,0.12,0.208,0.346
"1015",21043,0.069,0.102,0.122,0.324,0.383
"1016",21045,0.164,0.076,0.161,0.154,0.444
"1017",21047,0.06,0.118,0.178,0.279,0.365
"1018",21049,0.083,0.093,0.11,0.233,0.48
"1019",21051,0.153,0.082,0.165,0.16,0.44
"1020",21053,0.096,0.115,0.248,0.165,0.375
"1021",21055,0.121,0.117,0.29,0.153,0.319
"1022",21057,0.067,0.106,0.224,0.229,0.374
"1023",21059,0.055,0.057,0.122,0.236,0.531
"1024",21061,0.055,0.057,0.086,0.179,0.624
"1025",21063,0.117,0.1,0.051,0.289,0.443
"1026",21065,0.082,0.151,0.09,0.275,0.402
"1027",21067,0.031,0.051,0.066,0.202,0.65
"1028",21069,0.068,0.069,0.075,0.287,0.502
"1029",21071,0.131,0.066,0.129,0.134,0.54
"1030",21073,0.088,0.036,0.142,0.214,0.521
"1031",21075,0.1,0.102,0.202,0.217,0.38
"1032",21077,0.076,0.048,0.198,0.211,0.466
"1033",21079,0.077,0.043,0.063,0.276,0.54
"1034",21081,0.047,0.056,0.183,0.106,0.608
"1035",21083,0.103,0.069,0.266,0.222,0.34
"1036",21085,0.043,0.042,0.134,0.154,0.627
"1037",21087,0.063,0.076,0.127,0.247,0.488
"1038",21089,0.092,0.101,0.236,0.228,0.342
"1039",21091,0.019,0.08,0.121,0.235,0.546
"1040",21093,0.057,0.062,0.106,0.217,0.558
"1041",21095,0.076,0.093,0.098,0.126,0.606
"1042",21097,0.073,0.044,0.031,0.047,0.804
"1043",21099,0.053,0.034,0.118,0.185,0.61
"1044",21101,0.072,0.061,0.136,0.229,0.501
"1045",21103,0.093,0.082,0.174,0.254,0.398
"1046",21105,0.097,0.065,0.221,0.202,0.415
"1047",21107,0.04,0.067,0.174,0.217,0.502
"1048",21109,0.183,0.068,0.092,0.235,0.421
"1049",21111,0.036,0.048,0.083,0.23,0.602
"1050",21113,0.022,0.036,0.104,0.21,0.628
"1051",21115,0.102,0.053,0.106,0.127,0.612
"1052",21117,0.052,0.056,0.146,0.245,0.5
"1053",21119,0.157,0.073,0.13,0.142,0.497
"1054",21121,0.187,0.073,0.103,0.165,0.471
"1055",21123,0.074,0.053,0.09,0.213,0.57
"1056",21125,0.201,0.047,0.083,0.152,0.517
"1057",21127,0.155,0.091,0.151,0.125,0.479
"1058",21129,0.129,0.069,0.129,0.273,0.399
"1059",21131,0.094,0.103,0.142,0.174,0.487
"1060",21133,0.078,0.05,0.127,0.122,0.624
"1061",21135,0.057,0.081,0.21,0.296,0.357
"1062",21137,0.172,0.054,0.093,0.172,0.509
"1063",21139,0.08,0.1,0.29,0.191,0.339
"1064",21141,0.099,0.1,0.08,0.198,0.523
